"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"190"	2.8237901996446e-93	1.16000141629992	0.463	0.179	4.36812105983023e-89	"3"	"Orai1"
"191"	1.27273164110925e-90	1.29971572466247	0.639	0.395	1.9687885756319e-86	"3"	"Ubald2"
"192"	2.48036101440635e-90	1.01668104836007	0.517	0.209	3.83687045318518e-86	"3"	"Il21r"
"193"	4.17777050998167e-89	1.25011110520893	0.251	0.05	6.46259320189065e-85	"3"	"Gm12840"
"194"	1.57175933309363e-87	1.07886669586586	0.312	0.075	2.43135451236254e-83	"3"	"Ctla2a"
"195"	5.06720588536055e-87	0.991786975097939	0.271	0.06	7.83846078406423e-83	"3"	"Kdm2b"
"196"	5.51762037743574e-82	1.09238495520578	0.456	0.187	8.53520696185534e-78	"3"	"Fyb"
"197"	1.71085267408205e-74	1.05278419967732	0.42	0.162	2.64651800153752e-70	"3"	"Il7r"
"198"	1.24460079288381e-60	1.13186118500195	0.298	0.103	1.92527296651197e-56	"3"	"Cd28"
"199"	1.7789598940232e-60	1.15071231589709	0.434	0.206	2.75187306006448e-56	"3"	"AW112010"
"200"	1.43830708916519e-45	1.15119585347809	0.471	0.292	2.22491723622963e-41	"3"	"Odc1"
"201"	0	2.72432864063039	0.971	0.206	0	"4"	"Pf4"
"202"	0	2.51829641011575	0.57	0.05	0	"4"	"Ccl7"
"203"	0	2.02541313253502	0.893	0.238	0	"4"	"Selenop"
"204"	0	1.93105764569125	0.576	0.04	0	"4"	"Folr2"
"205"	0	1.64635261324019	0.94	0.367	0	"4"	"Ctsb"
"206"	0	1.56086960705444	0.931	0.253	0	"4"	"C1qc"
"207"	0	1.53240368667425	0.972	0.286	0	"4"	"C1qa"
"208"	0	1.52845962596717	0.765	0.167	0	"4"	"Csf1r"
"209"	0	1.47960266606569	0.423	0.021	0	"4"	"Cbr2"
"210"	0	1.41064705488308	0.411	0.018	0	"4"	"F13a1"
"211"	3.14464884086644e-301	1.92911589957448	0.468	0.044	4.8644572919363e-297	"4"	"Ccl2"
"212"	3.15723897152824e-295	1.45407986062924	0.962	0.298	4.88393296505704e-291	"4"	"C1qb"
"213"	5.93966661823944e-282	1.67006502550797	0.692	0.155	9.18807029175459e-278	"4"	"Ctsd"
"214"	2.24837585376842e-274	1.78522821130809	0.73	0.178	3.47801260819437e-270	"4"	"Hmox1"
"215"	2.36234221070396e-272	1.42318680266262	0.985	0.421	3.65430716573796e-268	"4"	"Lyz2"
"216"	4.10555645493774e-271	1.42198063278901	0.325	0.016	6.35088528014319e-267	"4"	"Fcna"
"217"	6.50283477105578e-253	1.36748445011316	0.404	0.038	1.00592351073462e-248	"4"	"Stab1"
"218"	2.31417136894343e-250	1.51214419005983	0.528	0.084	3.57979169061859e-246	"4"	"Ltc4s"
"219"	2.96106112189964e-229	1.7852005829273	0.768	0.237	4.58046544946655e-225	"4"	"Hspa1a"
"220"	4.99473009459612e-229	1.21237135350667	0.947	0.4	7.72634798333074e-225	"4"	"Fcer1g"
"221"	6.00085665991882e-223	1.19169348048142	0.376	0.039	9.28272516722842e-219	"4"	"Mrc1"
"222"	1.79481217720082e-221	1.13283863479273	0.993	0.594	2.77639495691195e-217	"4"	"Apoe"
"223"	1.26703216582381e-219	1.67772381580008	0.497	0.084	1.95997205731285e-215	"4"	"Gdf15"
"224"	1.07674172598866e-218	1.14557584221746	0.379	0.04	1.66561177593185e-214	"4"	"Fcrls"
"225"	1.11557871465794e-214	2.03885601190502	0.376	0.041	1.72568871370437e-210	"4"	"Ccl8"
"226"	1.26360018847058e-191	1.35474768529137	0.443	0.075	1.95466313154514e-187	"4"	"Hspa1b"
"227"	4.37770048539115e-188	1.1090825019433	0.392	0.056	6.77186488085157e-184	"4"	"C5ar1"
"228"	4.70933629891182e-184	1.27902784463859	0.858	0.453	7.28487232078669e-180	"4"	"Cstb"
"229"	9.95877814272736e-182	1.07451476067859	0.689	0.184	1.5405233908985e-177	"4"	"Ms4a7"
"230"	5.61216145698122e-179	1.24092975951346	0.614	0.162	8.68145255780425e-175	"4"	"Mafb"
"231"	3.81764380140102e-176	1.22321034256344	0.338	0.042	5.90551319638724e-172	"4"	"P2rx7"
"232"	7.19673540382963e-168	1.20533767900978	0.569	0.143	1.11326299961841e-163	"4"	"Ccl9"
"233"	4.39087486958873e-161	1.28709116773588	0.566	0.171	6.7922443357668e-157	"4"	"Grn"
"234"	1.37374327978127e-157	1.04609809518302	0.303	0.037	2.12504347949365e-153	"4"	"Cd36"
"235"	1.94998963727031e-157	1.05886970675076	0.424	0.082	3.01643896989345e-153	"4"	"C3ar1"
"236"	7.94192136112413e-148	1.07382799456525	0.886	0.612	1.22853581535229e-143	"4"	"Hspa8"
"237"	1.82452000815471e-144	1.14980369375157	0.361	0.064	2.82235000061452e-140	"4"	"Rgl1"
"238"	4.62450446130494e-142	1.11893340218393	0.596	0.206	7.15364595119261e-138	"4"	"Lamp1"
"239"	4.06683678321359e-140	1.10704410808441	0.591	0.192	6.2909898199531e-136	"4"	"Lgmn"
"240"	2.00433320889883e-137	1.49934950768058	0.547	0.167	3.1005030408456e-133	"4"	"Wfdc17"
"241"	3.58604178548114e-137	1.18882766530488	0.629	0.235	5.54724803796078e-133	"4"	"Cd68"
"242"	6.17568254996373e-135	1.13960323329484	0.472	0.124	9.55316333653889e-131	"4"	"Dab2"
"243"	5.63474078576473e-128	1.11619320619289	0.623	0.224	8.71638052149946e-124	"4"	"Ier3"
"244"	1.01819874871296e-118	1.08790683754104	0.522	0.171	1.57505164438407e-114	"4"	"Cfp"
"245"	1.47064471678279e-110	1.05346850877659	0.485	0.156	2.2749403123913e-106	"4"	"Rab7b"
"246"	5.86265604840429e-110	1.08905292970143	0.466	0.152	9.06894264127659e-106	"4"	"Trf"
"247"	6.92385151393158e-107	1.18580523849154	0.376	0.096	1.07105059069008e-102	"4"	"Bag3"
"248"	4.93094511230717e-106	1.25872484916003	0.257	0.041	7.62767899422797e-102	"4"	"Ccl3"
"249"	3.25177631218212e-104	1.59322493769779	0.42	0.118	5.03017277731452e-100	"4"	"Cxcl2"
"250"	3.44204357094173e-83	1.9419533752581	0.278	0.063	5.32449719988977e-79	"4"	"Ccl4"
"251"	0	4.44240540907367	1	0.347	0	"5"	"Jchain"
"252"	0	4.36804826105685	1	0.666	0	"5"	"Igha"
"253"	0	4.12851754214801	1	0.972	0	"5"	"Igkc"
"254"	0	3.47257801700933	0.862	0.146	0	"5"	"Iglc3"
"255"	0	2.82227666403253	0.839	0.039	0	"5"	"Ly6c2"
"256"	0	2.28362750070952	0.725	0.022	0	"5"	"Slpi"
"257"	0	2.19856705698443	0.973	0.136	0	"5"	"Mzb1"
"258"	0	2.15953357782576	0.955	0.169	0	"5"	"Iglc2"
"259"	0	1.96766155343525	0.935	0.062	0	"5"	"Txndc5"
"260"	0	1.54123796384995	0.824	0.047	0	"5"	"Cacna1s"
"261"	0	1.49241426468014	0.974	0.328	0	"5"	"Sec11c"
"262"	0	1.44089437150927	0.789	0.012	0	"5"	"Ccr10"
"263"	0	1.39217519510425	0.814	0.016	0	"5"	"Derl3"
"264"	0	1.25255320196602	0.863	0.152	0	"5"	"Glipr1"
"265"	0	1.2386243137599	0.776	0.048	0	"5"	"Trp53inp1"
"266"	0	1.15193487821238	0.765	0.018	0	"5"	"Tnfrsf17"
"267"	0	1.06314716353909	0.684	0.029	0	"5"	"Fam214a"
"268"	0	1.00194628718587	0.899	0.199	0	"5"	"H13"
"269"	0	0.960523452961912	0.82	0.14	0	"5"	"Prdx4"
"270"	0	0.925378078476371	0.657	0.017	0	"5"	"Eaf2"
"271"	0	0.873325751434742	0.78	0.104	0	"5"	"Pafah1b3"
"272"	0	0.832243915337725	0.574	0.006	0	"5"	"Prg2"
"273"	0	0.82101117511662	0.665	0.056	0	"5"	"Edem1"
"274"	0	0.738296304902499	0.564	0.046	0	"5"	"Iglv1"
"275"	0	0.72872992097456	0.612	0.027	0	"5"	"Edem2"
